ModelName,Label,InferenceTime,Recognition,Accuracy
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01313924789428711
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013147830963134766
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013158082962036133
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_96_quant,label,0.01330876350402832
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013288497924804688
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013193130493164062
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01326441764831543
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013343572616577148
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01315450668334961
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013285398483276367
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01331472396850586
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013157129287719727
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01315760612487793
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013273239135742188
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01314401626586914
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013104677200317383
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013253450393676758
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013163328170776367
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01314997673034668
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01329803466796875
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013153314590454102
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013110637664794922
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013312578201293945
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013150930404663086
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013103246688842773
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013258695602416992
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013090848922729492
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013269424438476562
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013096809387207031
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013171911239624023
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
